id,date,title,summary
4255394,2019-04-18,Intel: Positive Financials By Withdrawing From The 5G Smartphone Market,"Intel's April 16, 2019, announcement that it would exit the 5G smartphone modem market was favorably received by the market. Because Intel management saw no clear path to profitability and positive returns with $40 5G smartphone modems, the company has instead emphasized production of $700 server CPUs. This strategy is an about-face to the company's decision in 2008 to emphasize $29 Atom chips for netbooks instead of $279 desktop Penryn CPUs. Yet, the withdrawal of one of the core next-generation technologies seems counterintuitive in the face of Intel's sluggish PC-centric segment. This article highlights the positive financial impact of the company's decision."
4255203,2019-04-18,Intel Fails Again,"Intel fails in their attempt to capture a 5G modem business. The financial hit is expected to be minimal, but the company appears rudderless with plans for other 5G devices. The tepid buyback plan was a signal of future business struggles. The stock is expensive with limited EPS growth by 2020."
4255496,2019-04-19,Intel Earnings Preview: The Sentiment Is Less Bullish Than It Was In January,Intel will report first quarter earnings after the closing bell on Thursday. Analysts expect the earnings to be flat compared to the first quarter of 2018. Analysts have shifted to a less bullish posture in recent months and the short interest ratio is the highest it has been since September.
4255701,2019-04-22,Intel May Rise To A 20-Year High Following Results - Here's Why,"Intel may rise in the weeks following its quarterly results, to its highest price in 20 years. Options betting is very bullish. We first started noting bullish activity in Intel back in November."
4256905,2019-04-25,Intel Drops On Bad Guidance,Q1 results were okay but not great. Q2 and full-year guidance well below estimates. Caution is not a welcome sign for investors.
4257738,2019-04-29,Intel Earnings Are Not What They Seem To Be,"Intel beat Q1, but gave a soft Q2 guidance and took down FY guidance. That seems a bit odd, doesn't it? We explain the incongruence. Intel's data center weakness is real, but what the company is not telling investors is the impact AMD's products are having on its market share. Due to competitive dynamics, we predict ongoing Intel under-performance."
4260299,2019-05-05,Intel: Another Failure,
4261361,2019-05-08,Hold Intel For Future Growth And Present 2.5% Yield,
4262195,2019-05-09,Intel: Keep Lowering The Bar,The stock drops below $50 after management presentation. Analyst estimates continue to move lower. Do rising yield and the buyback provide reason for optimism?
4262491,2019-05-10,Intel Investor Day Presents An Overly Optimistic Future,"Intel's investor day, as downbeat as it was, provides a far too optimistic view of the future. Single digit growth guidance suggests large market share losses to AMD. Even if Intel delivers on the roadmap presented, it will stay behind the AMD/TSMC technology roadmap until 2021 or 2022."
4263327,2019-05-12,Intel: An Epyc Opportunity?,"AMD and Intel have both recently reported Q1 2019 results. Both AMD and Intel did not perform as well in this quarter as they did a year ago. The AMD Zen architecture chips are putting some pressure on Intel to accelerate in 10nm spending. At just over $45, INTC is priced above my $43 buy price."
4263471,2019-05-13,Resolved: Swan:Intel = Nadella: Microsoft,
4264054,2019-05-14,Intel: Failures Mount,Intel disappointed investors with long-term financial projections. The chip giant remains on a path of losing technology leadership. The financial projections actually appear aggressive following the abandonment of the 5G modem business. Watch share buybacks for any indications that the board of directors has confidence in the future.
4263896,2019-05-14,Intel: Crash Protection Kicks In,"Last month, I presented two ways Intel shareholders could limit their risk in the event Intel shares declined. Since then, Intel shares have dropped more than 19%. Here, I show how the Intel hedges from last month have ameliorated that decline and briefly discuss courses of action for hedged Intel longs now."
4264263,2019-05-15,Intel: Growth At The Cost Of Margins,"Intel’s investor day presentations left us with mixed messages regarding the company’s outlook. Focus on TAM expansion at the expense of its margin profile is a concern. Growth targets require heavy investments to materialize. Even at ~10x PE, we're not dipping into the Intel story just yet."
4264884,2019-05-17,How AMD And Others Are Weakening Intel's Hold On X86,"For quite some time, Intel’s data-centric business used to outperform its PC-centric counterpart by growing much faster. Intel’s earnings release in Q1 reveals that the data-centric business was a weakness instead of the strength that it has been in the past. Intel’s cites China as part of the reason for this change and certain developments in China could ensure that more weakness is in store for Intel. If more weakness is to be expected in future earnings releases, then the stock is unlikely to do well as long as these issues have not been addressed."
4264749,2019-05-17,'Intel' Suggests Semiconductors Ready To Byte The Bullet (Video),INTC represents over 11% of the SOXX. Semis represent over 11% of NASDAQ 100. Charts suggest a large degree correction is just starting.
4265427,2019-05-20,Intel: Really Attractive After Recent 25% Sell-Off,"Intel shares are down 25% from their 52-week high. A combination of disappointing earnings and China fears has put pressure on the stock. However, the company's tremendous performance during 2016, 2017, and 2018, combined with this weakness, has resulted in a low 10x P/E ratio. Intel pays a safe 2.8% yield as well, making it attractive to me as a dividend growth investor looking for technology exposure."
4267025,2019-05-29,Intel's Stock May See A Sharp Bounce,Intel's stock saw some bullish options bets yesterday. The technical chart shows that the stock is severely oversold. The valuation for the stock is its lowest in years.
4269237,2019-06-08,Intel Is Worth More Than 10x Forward PE,"Compared with AMD and Nvidia, Intel's recent share price has been beaten down disproportionately by the same macro picture and industry-specific factors. Apparently, the market has priced in Intel’s inability to launch its 10nm chips in time to defend its CPU market share from AMD’s EPYC and 7nm products. Despite of all the negatives, using a revenue perspective, Intel’s fair value should be between $57 and $62. Intel is still undervalued by 25%-35%. Using an earnings perspective, Intel’s fair value should be between $46 and $50. Intel is undervalued by 5%-10%. The fact that the current market has priced Intel’s stock more towards its profitability than revenue points out an alarming possibility that Intel may lose more significant market share to AMD."
4269999,2019-06-13,3 Great Tech Blue Chip Buys,"Tech stocks are a great source of strong returns over time as they tend to ride strong secular economic trends that can persist for decades. Dividend paying blue-chips Intel, Skyworks Solutions, and Expedia have all been beaten down in recent weeks and months over market fears related to disruption risk and the US/China trade war. This is a good time for contrarian dividend investors to buy these three quality companies at 12% to 34% discounts to fair value. Over the next five to 10 years, I expect INTC, SWKS, and EXPE to deliver strong double-digit total returns as well as safe and steadily rising dividends. Just remember that all investing is probabilistic, so never forget to use good risk management and proper asset allocation in your portfolio."
4272200,2019-06-26,"Intel, Huawei Consequences And The 5G Effect: Headwinds And Tailwinds","The age of 5G is upon us and Intel should benefit as a major holder of 5G patents and as a supplier of crucial components. The decision by the U.S. government to ban Huawei from sourcing U.S. components is a wildcard that could throw things off. Intel should get a boost from 5G, but it’s possible that 5G could also create long-term headwinds for the company. The upcoming G-20 meeting could bring relief for Intel, but it could also make things worse for the company depending on how the talks go."
4272660,2019-06-28,Intel: An Iconic Company At Inflection Point,"Intel exceeded expectations in Q1, but lowered its outlook, which resulted in an approximate 25% price drop from its peak in April 2019. Competitors are taking Intel's market share. A P/E valuation of around 10 and a 2.7% dividend yield seem to be attractive, but the stock price can go lower."
4273225,2019-07-02,Intel Briefing: Chips Are Showing Weakness (Video),"Semis lagging the market, failing to make new highs over April. Intel has enough of a corrective bounce to be complete. A measured move would take INTC under 40. NVIDIA has the clearest setup for a downturn."
4273937,2019-07-08,Intel Should Lower Prices Soon,
4275473,2019-07-17,Big News From Europe For Intel And Qualcomm,"The future of automotive is determined not only by robotics and artificial intelligence but also by connecting cars with their surrounding. With 5G, there will be a completely new market with an impressively high market volume. Hardly noticed by investors, something trend-setting has happened in Europe, which will appeal especially to Qualcomm and Intel investors. The chances are increasing that the respective chipsets can be used quickly in Europe. Intel and Qualcomm can be the first companies to build up market shares in Europe - a huge advantage. Even given the current challenges, both companies are relatively favourably valued."
4276706,2019-07-23,Intel's Outlook May Help Boost Shares,"Intel reports results on July 25. Analysts are looking for a weak quarter. However, there are signs of improvement in the sector."
4279018,2019-07-30,Intel: Under The Surface Failure,Intel beat Q2 results due in part to sales pull-in from the trade war and some short-term PC market dynamics. The company still saw operating income plunge $460 million. The future business areas of data center and mobile modems are both either struggling or already failed. The 2021 financial targets remain at risk despite a target of gross margins dipping to 57% from above 60% now.
4287831,2019-08-26,Intel: Zen And The Art Of Chip Production,"AMD and Intel have both recently reported Q2 2019 results. Both AMD and Intel did not perform as well in this quarter as they did a year ago. The AMD Zen architecture chips are putting some pressure on Intel, but with Intel set to release 10nm later this year, that may be at an end. At just over $45, INTC is priced very close to my $44 buy price."
4288864,2019-08-30,"Surveilling The Laggards Part II - Intel's Achilles' Heel Hasn't Changed, But The Stock Is Undervalued In Low-To-Mid $40s","The fact is Intel's a high-tech manufacturer, and funding that """"capex"""" for 30 years takes work. Capex as a percentage of Intel's cash flow has slowly risen the last 10 years. While Moore's Law and the fab manufacturing provides a formidable barrier to entry, Morningstar has the moat under pressure. AMD is expected to grab market share over the next few years. In low $40s, Intel is trading at a significant discount to perceived intrinsic value."
4290644,2019-09-09,Intel: Value Investment For Future Data Growth,"According to the price-to-earnings and EV/EBITDA ratios, Intel is valued around 50% below the industry averages. Data-centric markets will provide significant growth potential. Intel continually increases its dividends and repurchases. Its profitability fully supports cash returns to shareholders. During the last four quarters, the company spent $16 billion on dividends and share repurchases (trailing shareholder yield is 6.5%)."
4290511,2019-09-09,Intel Positions Itself Far Beyond 5G,
4290945,2019-09-11,Why Intel Could Be The Perfect Tech Recession Stock,"Intel provides a great combination of value, momentum and financial strength.
         Its performance during the last quarter of 2018 suggests it could perform a lot better than the overall market during a recession.
         While the current combination of dividend yield and dividend growth isn't satisfactory for dividend investors, shareholders should strongly consider holding on to this tech position."
4291929,2019-09-16,Intel: Don't Chase This Yield,"Intel has rallied back to the low $50s, where the dividend yield loses appeal. The company is struggling with market share losses to AMD and a CPU processor business that has already pulled forward sales. The stock trades at 12x forward EPS estimates with no growth forecasted. The dividend yield loses all appeal below the current 2.4% rate."
4292079,2019-09-17,Intel Vs. AMD: Losing The Battle But Winning The War,"Due to its sheer size, Intel stock price is historically more sensitive to revenue growth than to market share. Intel has a good chance to win the CPU war if 3Q revenue is ready to ramp from a renewed corporate IT budget and the scheduled 10nm launch. In contrast, due to its small market share, AMD’s stock price is more sensitive to market share changes than to revenue growth. AMD’s relative valuation will increase as it will win the battle of market share increase against Intel from its 7nm new product offerings. Relative to AMD, Intel is considerably undervalued, given the expected market share and revenue growth."
4293810,2019-09-26,Intel Stock Growth Depends On The 10 And 7 Nanometer Chips,"Intel is introducing 10 nanometer chips and two years later, 7 nanometer chips, which is a major change to its key product lines. 10/7 nanometer chips cost $6.9 billion in the first half of 2019 alone, equal to 20% of revenue, while no new chips were shipped. These chips should make Intel’s proprietary products sell in larger quantities at excellent margins. Intel is a strong buy."
4293912,2019-09-27,Computing Power: Beyond The Size Of Processors,"The ever-increasing levels of data usage are likely to require increasing levels of processing capacity. While Moore’s law may be coming to an end, the alternatives to conventional computing are likely to ensure that the growth in processing power continues unabated. The evolution of intelligence in the software also promises to utilize commodity (relatively speaking) processors to deliver extreme performance."
4295092,2019-10-04,Intel And AMD: Computing Power Commoditization,Microsoft has announced new 2-in-1 tablets and laptops. A development from this announcement hasn't been given enough emphasis. This development is the first shot in a race towards commoditization of computing power.
4295395,2019-10-07,Why We Remain Long Intel,"We went long INTC when it was trading below $25. We added some more when it traded below $45. Intel’s supremacy on x86 processors is why we still remain long INTC. We are not worried over the hype on AMD’s Ryzen and EPYC. In spite of AMD’s more affordable Ryzen processors, Intel remains the go-to processor supplier for most PC manufacturers. A healthy balance sheet and highly profitable data center business convinced us Intel can win a pricing war against Advanced Micro Devices."
4295677,2019-10-09,Intel: Size Matters,"Intel's size will help it catch up. Intel is reasonably priced, and part of the downside is already factored into the current price. Hedging bets could be the wisest move."
4296327,2019-10-14,"Intel: Not At Current Share Price, Thank You",It's rare to see a quality dividend-paying stock trading around the 11.0 P/E mark today. Intel's low P/E ratio likely reflects the effect of declining earnings over the last 12 months. Analysts' EPS estimates suggest a return to modest growth ahead. Not sure what price to pay? Learn how to determine an Intel share buy price that has the potential to meet your personal investment goals.
4296881,2019-10-16,Intel's Stock May Jump Followings Its Quarterly Report,Intel has a history of beating analysts' expectations. The technical chart indicates the stock may continue to rise. Bullish option bets have been building since September.
4297720,2019-10-21,Intel And Taiwan Semiconductor: A Tale Of Two Cities Revisited,
4298039,2019-10-22,Intel's 10nm Process Is A Bust,
4297960,2019-10-22,AMD's Extremely Successful Price Strategy Could Burden AMD And Intel Investors Long Term,"The launch of the second Epyc CPU generation, powered by AMD's latest ZEN 2 core design, was not so long ago. At the moment, AMD is promoting the price/performance ratio of this Epyc generation. Given that, there is an extremely impressive defeat for Intel. Investors need to look at AMD's operations without bias and ask themselves whether management is really getting every possible USD of profit out of the company. In my opinion, AMD should put the focus a little more away from the penetration strategy, and instead, switch a little more to the skimming strategy."
4298895,2019-10-24,AMD's EPYC Blows Intel's Xeon Out Of The Water,"AMD has released EPYC Rome, its new line of server CPUs. It's apparent that Intel's current lineup of Xeon chips is overmatched. With advantages in price and performance, AMD is already gaining market share at Intel's expense."
4299450,2019-10-27,Intel: The 15+ Year Breakout - Part 4,Intel beats and guides higher. Strong capital returns. Long term breakout still intact.
4299598,2019-10-28,Intel's Big Gains May Soon Fizzle,"Intel reported strong quarterly results. The stock may fall short term after Friday's massive rally. However, the stock may be too cheap and could rise longer term."
4300545,2019-10-30,Intel's Q3: Raised Outlook Vs. Flat Earnings,"Intel’s Q3 earnings came in mostly flat, but a raised outlook more than made up for it. Results varied with some units doing better than others, which includes strength in the data-centric unit offsetting weakness in the PC-centric unit. Intel’s 10nm process seems to be a work in progress, which could become a problem since competitors are quickly moving forward. Intel needs to deliver on what it has promised, something that it has not always done in recent years."
4300374,2019-10-30,Intel Growth Returns,Revenue was $1.2 billion over guidance and full year guidance is up $1.5 billion to $71 billion. Intel stock price grew 4.2% on the day after the earnings announcement to $56 per share. The 10nm yield lowered gross margin by 5.6 percentage points but it and the 7nm are looking better than in earlier guidance. It is a strong buy.
4302377,2019-11-04,Intel Breaks Out,"The good news in Intel’s 3Q earnings results is the surprising yet exciting datacenter growth which is viewed as the beginning of a 4-6 quarters’ uptrend. Intel still benefits more from the total revenue increase, despite the continued loss of market share to AMD. There is some short-term optimism to temporarily ignore Intel’s struggle to advance from 14nm to 10nm, and to 7nm eventually. Intel’s 3Q win does not look like a game changer as the Street has not completely reflected the improved outlook in its long-term fundamental forecasts. Using the current forward estimates, Intel’s share price looks to rise to high $60s by 2020 and low $70s by 2021."
4302640,2019-11-05,AMD Set To Dominate Intel Server Technology Through 2020,Leaked Intel roadmap suggests that Ice Lake server chip is unlikely to be competitive with AMD Rome. AMD Rome will be an easy winner in 2020 against both Intel Cooper Lake and Ice Lake server products. AMD prospects continue to make AMD one of the best semiconductor stocks to own for 2020.
4303143,2019-11-06,Intel: 2 Reasons For Optimism,Intel reported third quarter results recently that produced record growth for its data-centric businesses. The company also announced it was adding an additional $20 billion to its share repurchase authorization. Intel has been paying a dividend longer than several other large cap tech names. Strong performance from the Data Center Group and shareholders returns should make Intel a very appealing stock to investors.
4303732,2019-11-07,Intel: Better Lucky Than Good,
4307777,2019-11-19,Intel Powered By Solid Earnings And An Attractive Valuation,"Intel's stock is trying to break above $60 per share once again. This level has been a strong resistance in the past. This upside move is being fueled by better than expected earnings. The stock is still very reasonably valued at current prices. A declining PC industry and growing competition from players such as AMD are key risk factors to watch. Nevertheless, the risk vs. reward ratio in Intel's stock looks attractive as long as management keeps leading the company in the right direction."
4309335,2019-11-26,Intel: Time For A Dividend Raise,Payout ratio expected to drop this year. Share count reduction should help here. Free cash flow generation remains high.
4310294,2019-12-03,Intel Drives Autonomously Into A Glorious Future,"With the rollout of 5G next year, there will be a multitude of new technical possibilities. Accordingly there will be a multitude of opportunities for companies to earn a lot of money here as well. One area of this is autonomous driving, in which Intel has positioned itself very well so far. Overall, I think that the expensive acquisition of Mobileye could definitely pay off in the long term. This is indicated in particular by the latest growth figures."
4310433,2019-12-04,Intel Vs. Advanced Micro Devices: Not A Zero-Sum CPU Game,"Since 2017, Intel has lost 10% PC CPU market share and 5% server market share to AMD. The current analysts’ estimate suggests that Intel may lose another 2% CPU market share to AMD in the next 2-3 years. Market share gain is more important to AMD than to Intel as AMD has a much smaller market share than Intel to start with. AMD’s shares are currently trading at a premium relative to Intel shares, reflecting AMD’s forthcoming CPU market share gain. Despite a projected 2% market share loss to AMD, Intel shares will still gain from the annual 5% growth of the CPU space."
4310943,2019-12-05,Intel: Currently A Low Growth Dividend Stock - IoT Is The Future,"Intel's larger segments (Client Computing and Data Center) have recently struggled to grow. Intel's IoT segment's double-digit growth will take a while to have a significant positive impact on overall fundamentals. Overall company revenue and earnings growth are expected to be below average in 2020. However, new acquisitions in IoT could help transform the company for the long-term."
4311631,2019-12-10,Intel's 7.5% Total Yield Will Push The Stock Higher,"In October, Intel's board increased its share repurchase authority by $20 billion to $27.2 billion. This represents over 11% of its market value. Intel is also due to raise its dividend per share by the time it announces earnings for Q4. I estimate there will be a 5% dividend hike. I estimate that by the 2019 year-end, Intel will have bought back $12.9 billion in shares this year or 5.24% of its market value. FCF, at $17 billion, covers this. The dividend hike and 2.34% estimated dividend yield, plus the 5.24% buyback yield, Intel has an annual total yield for shareholders of 7.5%. The stock is worth $65 per share, +15% higher than today."
4311877,2019-12-11,Intel: Here Come The Custom Chips,"Whether Amazon’s Graviton2 will be the game changer for the CPU market remains to be seen, Intel has to be sensitive to the emerging trend of customers’ designing proprietary chips. Intel’s large cloud customer Amazon’s Graviton2 stands to take away $120 million immediate revenue from Intel. Google’s TPUs may take $650 million, and Microsoft’s FPGAs may take $700 million. The wide uses of custom chips are restricted by their customized nature. Intel has about 2% revenue exposure on the custom chips from the 3 cloud providers. Merchants developing their own proprietary silicon, i.e., Apple, should be a more alarming trend. Currently, Intel has about 4%, or $2.5 billion annual revenue exposure potentially to Apple’s SoC/SiP chips."
4312387,2019-12-13,Intel Is Our Top Pick In A Crowded Semi Trade,Intel has been left behind in the semiconductor growth craze. Growth-at-any-price does not tend to have a long shelf life. Long-term investors will appreciate the value and yield qualities of Intel.
4313636,2019-12-21,Data Center Market Share Drives Intel And Nvidia's Stock Prices,
4314087,2019-12-26,Intel: Forecasting A January Dividend Increase,"Intel is on a 5-year streak of consecutive annual rate hikes to its quarterly dividend. The company announced a new $20 billion share buyback authorization in October, which has implications for near-term dividend growth. This article presents our forecast for a dividend increase in January 2020 along with a discussion on payout ratios."
4314280,2019-12-27,Intel: Spending Too Much On Buybacks,
4315613,2020-01-07,Micron's X100 Will Drop Like A Bomb On The Intel Data Center,"Micron's X100 (3DXP) photos reveal that it is very much a pre-production part. The patents and limited specifications reveal a tremendous advantage over Intel. AMD, Nvidia, IBM, ARM, Xilinx, and others will benefit directly as the X100 marshals them into the data center with force."
4316089,2020-01-09,AMD Shines As Intel Struggles At CES,"AMD presented a strong product lineup at CES. We discuss some of the intricacies. Intel, on the other hand, hardly had much to say about products and stayed with a big-picture presentation. AMD continues to be in market share gaining mode against Intel and Nvidia."
4316564,2020-01-13,Intel Offers A Lot Of Value - But Investors Are Looking In The Wrong Places,"One thing is clear, it is precisely the future that is traded on the stock exchange and not the present (and certainly not the past).
         Given that, I have already pointed out in individual analyses the various new technical possibilities that will become increasingly important with the rollout of 5G this year.
         At the CES this week, Intel unveiled some interesting things about Mobileye and Intel's automotive business.
         Investors can find a lot of value here, because the automotive business has the potential to become a catalyst for extreme future growth."
4316501,2020-01-13,Micron Conspires With The Rest Of The Industry,Intel is working furiously to maintain their grip at the center of computing. But Micron called IMFT and appears to be conspiring against this grip. Micron's 3DXP intellectual property seals the deal.
4316903,2020-01-14,Intel Looking For Earnings Breakout,"Stock looking to sustain breakout above $60. Revenue growth expected, but what about earnings? Let's see a nice dividend raise this year."
4316857,2020-01-14,Intel To Lead The AI Revolution Over The Next Decade,
